"country","subregion","region","smartphone_adoption","happiness","literacy","discrimination_index","homicide_rate","education","income","gini","suicide_rate","gun_deaths","internet_speed","population","gender_equality","social_progress","human_needs","well_being","opportunity","life_expectancy","terrorism_score","peace_index","satisfaction","web_index"
"50","Iceland","Northern Europe","Europe",NA,7.561,NA,1,0.3,0.847,NA,"",14,1.25,NA,331310,0.8594,87.62,95,86.11,81.73,82,1.22,1.148,260,93.72
"51","Costa Rica","Central America","Americas",NA,7.257,97.7,4.1,8.5,0.654,NA,"48.6",6.7,7.5,2.7,4773130,0.7165,77.88,84.22,78.83,70.59,79,0,1.654,250,60.38
"52","Luxembourg","Western Europe","Europe",NA,7.082,NA,2.8,0.8,0.762,47716,"30.8",8.7,1.19,NA,562958,0.7333,NA,NA,82.42,81.95,82,NA,NA,253.33,NA
"53","Oman","Western Asia","Asia",NA,6.883,94.7,2.7,1.1,0.603,NA,"",1,NA,NA,4305346,0.6091,NA,NA,70.47,NA,76,0,1.947,243.33,NA
"54","Venezuela","South America","Americas",NA,6.853,95.3,NA,53.7,0.682,NA,"44.8",2.6,50.9,1.3,30620404,0.6851,63.45,66.12,74.69,49.55,76,2.14,2.493,246.67,29.79
"55","Panama","Central America","Americas",NA,6.764,95,5,17.2,0.657,NA,"51.9",4.7,15.86,2.9,3764166,0.7195,71.79,75.91,77.55,61.9,77,0,1.903,240,NA
"56","Chile","South America","Americas",NA,6.666,97.2,3.5,3.1,0.746,NA,"50.8",12.2,2.55,4.1,18006407,0.6975,78.29,86.32,74.85,73.69,80,3.97,1.563,216.67,74.18
"57","Qatar","Western Asia","Asia",NA,6.587,97.7,4.9,1.1,0.686,NA,"41.1",4.6,0.15,NA,2463460,0.6403,NA,NA,70.6,52.15,79,0,1.568,233.33,38.01
"58","Kuwait","Western Asia","Asia",NA,6.515,96.1,4.6,0.4,0.646,NA,"",0.9,0.36,NA,4183658,0.6457,69.19,86.28,73.96,47.35,78,0.02,1.626,240,NA
"59","Cyprus","Western Asia","Asia",NA,6.466,99,NA,2,0.776,NA,"",4.7,1.87,NA,847000,0.6741,77.45,89.3,75.95,67.11,82,3.08,1.924,230,NA
"60","Colombia","South America","Americas",NA,6.416,94.6,NA,30.8,0.602,NA,"53.5",5.4,25.43,3.4,48435100,0.7122,68.85,70.98,77.3,58.26,79,6.66,2.72,240,57.12
"61","Uruguay","South America","Americas",NA,6.355,98.4,2.8,7.9,0.712,NA,"41.3",12.1,15.36,5.5,3415866,0.6871,79.21,86.18,75.03,76.41,77,0,1.721,210,66.1
"62","Suriname","South America","Americas",NA,6.269,95.5,NA,6.1,0.588,NA,"52.9",27.8,NA,NA,534189,0.6504,NA,NA,75.4,58.02,77,NA,NA,243.33,NA
"63","Slovenia","Southern Europe","Europe",NA,6.06,99.7,3.3,0.7,0.863,24750,"31.2",12.4,2.49,NA,2068959,0.7443,81.62,92.88,80.87,71.12,80,0,1.378,220,NA
"64","Guatemala","Central America","Americas",NA,5.965,79.3,NA,39.9,0.484,NA,"52.4",8.7,29.62,NA,16176133,0.6821,62.19,69.32,68.96,48.29,72,2.01,2.215,233.33,NA
"65","Malta","Southern Europe","Europe",NA,5.964,94.1,4,2.8,0.733,NA,"",6,NA,NA,445426,0.6707,NA,NA,73.61,70.38,81,NA,NA,250,NA
"66","Ecuador","South America","Americas",NA,5.865,94.4,NA,12.4,0.594,NA,"46.6",9.2,NA,3.6,16278844,0.7455,68.25,73.56,76.46,54.72,75,0.58,1.997,186.67,42.57
"67","Bolivia","South America","Americas",NA,5.857,95.6,NA,12.1,0.674,NA,"46.6",12.2,0.74,1.1,11410651,0.7049,63.36,67.24,70.86,51.98,68,0.08,2.025,183.33,NA
"68","Moldova","Eastern Europe","Europe",NA,5.791,99.3,NA,5,NA,NA,"33.0",13.7,1.03,NA,3555200,0.7405,63.68,77.65,64.85,48.54,NA,0.04,1.942,116.67,NA
"69","Paraguay","South America","Americas",NA,5.779,95.5,NA,9.7,0.587,NA,"48.0",6.1,6.64,1.3,7003406,0.689,67.1,71.11,71.11,59.09,75,4.09,2.023,216.67,NA
"70","Peru","South America","Americas",NA,5.776,94.4,NA,9.6,0.664,NA,"45.3",3.2,5.31,3.6,31151643,0.7198,67.23,69.89,73.89,57.92,77,3.32,2.029,186.67,46.62
"71","Kazakhstan","Central Asia","Asia",NA,5.671,99.7,NA,7.8,0.762,NA,"29.0",23.8,NA,NA,17630700,0.721,61.38,77.17,58.21,48.75,68,1.88,2.008,193.33,35.65
"72","Croatia","Southern Europe","Europe",NA,5.661,99.2,5.3,1.2,0.77,NA,"33.7",11.6,2.68,NA,4225316,0.7075,73.3,87.49,76.09,56.32,78,0.12,1.55,196.67,NA
"73","Turkmenistan","Central Asia","Asia",NA,5.628,99.6,NA,12.8,0.679,NA,"40.8",19.6,NA,NA,4751120,NA,NA,75.82,NA,NA,63,0,2.135,133.33,NA
"74","Uzbekistan","Central Asia","Asia",NA,5.623,99.5,NA,3.7,0.651,NA,"36.7",8.5,NA,NA,31022500,NA,59.71,79.31,54.25,45.56,69,0,2.187,213.33,NA
"75","Angola","Middle Africa","Africa",NA,5.589,71.1,NA,10,0.474,NA,"58.6",13.8,NA,NA,24383301,0.6311,40,41.27,52.2,26.51,51,0.24,2.02,160,NA
"76","Albania","Southern Europe","Europe",NA,5.55,97.6,4.8,5,0.609,NA,"29.0",5.9,NA,NA,2893005,0.6869,68.19,80.71,73.64,50.23,74,2.12,1.821,153.33,NA
"77","Nicaragua","Central America","Americas",NA,5.507,82.8,5.9,11.3,0.484,NA,"40.5",10,5.11,NA,6198154,0.7894,62.2,65.87,72.17,48.58,73,2.93,1.947,210,NA
"78","Belarus","Eastern Europe","Europe",NA,5.504,99.7,NA,3.6,0.82,NA,"26.5",18.3,0.23,NA,9494200,NA,64.98,83.03,66.72,45.19,72,2.13,2.163,133.33,NA
"79","Mauritius","Eastern Africa","Africa",NA,5.477,90.6,3.5,2.8,0.718,NA,"",8,NA,NA,1261208,0.6541,73.66,88.02,72.09,60.88,74,0,1.503,216.67,49.6
"80","North Cyprus",NA,NA,NA,5.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Lithuania","Northern Europe","Europe",NA,5.426,99.8,3.7,6.7,0.877,NA,"37.6",28.2,NA,NA,2893336,0.7208,74,83.75,74.79,63.47,74,0,1.674,156.67,NA
"82","Estonia","Northern Europe","Europe",NA,5.426,99.8,5.9,5,0.859,12421,"36.0",13.6,2.67,NA,1313271,0.7017,80.49,88.44,79.61,73.42,77,0.08,1.677,170,85.05
"83","Algeria","Northern Africa","Africa",NA,5.422,80.1,NA,0.7,0.643,NA,"35.3",1.9,NA,NA,39500000,0.6182,60.66,78.88,66.22,36.87,72,4.75,2.131,173.33,NA
"84","Jordan","Western Asia","Asia",NA,5.414,96.6,NA,2,0.7,NA,"35.4",2,NA,NA,7595000,0.5968,63.31,82.63,64.93,42.38,74,1.75,1.944,170,27.43
"85","Jamaica","Caribbean","Americas",NA,5.374,88.6,4,39.3,0.668,NA,"45.5",1.2,30.72,NA,2717991,0.7128,69.83,70.52,72.84,66.14,74,0.23,2.153,233.33,44.5
"86","Libya","Northern Africa","Africa",NA,5.34,91,NA,1.7,0.698,NA,"",1.8,NA,NA,6278000,NA,NA,NA,56.43,NA,75,7.29,2.819,190,NA
